id,name,party,partyLabel,votes
Q52587398,Órfhlaith Begley,Q76382,Sinn Féin,16346
Q7787999,Thomas Buchanan,Q215519,Democratic Unionist Party,8390
Q22006766,Daniel McCrossan,Q175443,Social Democratic and Labour Party,6254
,Chris Smyth,Q841045,Ulster Unionist Party,2909
,Stephen Donnelly,Q244927,Alliance Party of Northern Ireland,1130
